page	section	order	file	kind	title	state	commit	sources	parent	aliases
H-overview	site	0	overview.topic	hub	Aether Weaver	done	0ca4ec8			
X-tba	site	1	tba.topic	hub	Not written yet	done	0ca4ec8			
S-what-is	start	10	start/what-is-aether-weaver.topic	explain	What Aether Weaver is	done	04965ef	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Weave.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/Weaver.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/WeaverBuilder.java;pom.xml		
S-install	start	20	start/install.topic	howto	Install	done	fcad83e	pom.xml;aether-weaver-bom/pom.xml;aether-weaver-api/pom.xml;aether-weaver-processor/pom.xml;aether-weaver-testkit/pom.xml;aether-weaver-maven-plugin/pom.xml		
S-first-weave	start	30	start/first-weave.topic	howto	Your first weave	done	1409465	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Weave.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Inject.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/At.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Point.java;aether-weaver-tests/src/test/java/de/splatgames/aether/weaver/e2e/		
S-choose-driver	start	40	start/choose-a-driver.topic	explain	Choose a driver	done	a5f9814	aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/WeaveMojo.java;aether-weaver-agent/src/main/java/de/splatgames/aether/weaver/agent/WeaverAgent.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/WeavingClassLoader.java;aether-weaver-testkit/src/main/java/de/splatgames/aether/weaver/testkit/Weaving.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/DiagnosticCode.java		Choosing a driver
H-start	start	99	start/getting-started.topic	hub	Get started	done	47e09ab			
C-weaving-model	concepts	10	concepts/weaving-model.topic	explain	The weaving model	done	94481b3	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Weave.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Require.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/merge/;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/model/		
C-pipeline	concepts	20	concepts/pipeline.topic	explain	The weaving pipeline	done	7de91f4	aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/Weaver.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/WeaverBuilder.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/parse/;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plan/;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/verify/;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/stamp/		
C-selectors	concepts	30	concepts/selectors.topic	explain	Selectors	done	7de91f4	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/select/		
C-injection-points	concepts	40	concepts/injection-points.topic	explain	Injection points	done	7de91f4	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/At.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Point.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Slice.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/point/		
C-handlers	concepts	50	concepts/handlers-and-callbacks.topic	explain	Handlers and callbacks	done	1459778	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Inject.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Result.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/		Handlers
C-weave-members	concepts	60	concepts/weave-members.topic	explain	Weave members	done	1459778	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Shadow.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Unique.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Accessor.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Invoker.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/merge/		
C-locals	concepts	70	concepts/locals.topic	explain	Locals	done	1459778	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Local.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/model/LocalSpec.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/LocalRef.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/	C-handlers	
C-redirect-wrap	concepts	80	concepts/redirect-and-wrap.topic	explain	Redirect and Wrap	done	a4161a8	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Redirect.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Wrap.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/Operation.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/OperationSupport.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/		
C-ordering	concepts	90	concepts/ordering.topic	explain	Ordering	done	a4161a8	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Group.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Phase.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Weave.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/model/GroupSpec.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plan/		
C-extensions	concepts	100	concepts/extension-methods.topic	explain	Extension methods	done	a4161a8	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/experimental/;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/extension/;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/ExtensionChecks.java		
C-determinism	concepts	110	concepts/determinism.topic	explain	Determinism	done	8bf05ff	aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/stamp/;aether-weaver-testkit/src/main/java/de/splatgames/aether/weaver/testkit/WovenAssert.java;aether-weaver-testkit/src/main/java/de/splatgames/aether/weaver/testkit/Weaving.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plan/		
H-concepts	concepts	999	concepts/concepts.topic	hub	Core concepts	done	47e09ab			
G-build-time	guides	10	guides/build-time-weaving.topic	howto	Build-time weaving	done	1bd8fe9	aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/		Weaving dependencies
G-load-time	guides	20	guides/load-time-weaving.topic	howto	Load-time weaving	done	ea02ede	aether-weaver-agent/src/main/java/de/splatgames/aether/weaver/agent/		Weaving at load time
G-runtime	guides	30	guides/runtime-weaving.topic	howto	Runtime weaving	done	ea02ede	aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/WeaverBuilder.java		Weaving in a running application
G-testing	guides	40	guides/testing-woven-code.topic	howto	Testing woven code	done	ea02ede	aether-weaver-testkit/src/main/java/de/splatgames/aether/weaver/testkit/		Testing a weave
G-diagnosing	guides	50	guides/diagnosing-a-weave.topic	howto	Diagnosing a weave	done	e8287c1	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/explain/;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/dump/;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/observe/		Explain a build
G-policy	guides	60	guides/policy-and-safety.topic	howto	Policy and safety	done	e8287c1	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/WeavePolicy.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/policy/;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/config/PolicyConfig.java		Weave policy
G-configuration	guides	80	guides/configuration.topic	howto	Configuration	done	c43d713	aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/config/		
H-guides	guides	999	guides/guides.topic	hub	Guides	done	47e09ab			
R-annotations	reference	10	reference/annotations.topic	reference	Annotations	done	49bfdd6	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/		The annotation reference;The slice reference;@Group
R-selector-grammar	reference	20	reference/selector-grammar.topic	reference	The selector grammar	done	49bfdd6	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/select/		
R-diag-1	reference	40	reference/diagnostics-declaration.topic	reference	AW1xxx - declarations and injection	done	b4475c8	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/DiagnosticCode.java;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/parse/;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/	R-diagnostics	AW1xxx
R-diag-2	reference	50	reference/diagnostics-environment.topic	reference	AW2xxx - environment, drivers and configuration	done	76d50f1	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/DiagnosticCode.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/;aether-weaver-agent/src/main/java/de/splatgames/aether/weaver/agent/;aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/	R-diagnostics	AW2xxx
R-diag-3	reference	60	reference/diagnostics-policy.topic	reference	AW3xxx - policy and plugins	done	76d50f1	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/DiagnosticCode.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/policy/;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/	R-diagnostics	AW3xxx
