unit	layer	module	package	files	state	commit	paths
L1-api-api-01	1	aether-weaver-api	de.splatgames.aether.weaver.api	9	done	cbe6115	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Accessor.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/At.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Group.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Inject.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Invoker.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Local.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Phase.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Point.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Redirect.java
L1-api-api-02	1	aether-weaver-api	de.splatgames.aether.weaver.api	9	done	6779ad0	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Require.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Result.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Shadow.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Slice.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Unique.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Weave.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Woven.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/WovenInfo.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/Wrap.java
L1-api-api-callback-01	1	aether-weaver-api	de.splatgames.aether.weaver.api.callback	7	done	c24d348	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/Callback.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/CallbackSupport.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/LocalBooleanRef.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/LocalByteRef.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/LocalCharRef.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/LocalDoubleRef.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/LocalFloatRef.java
L1-api-api-callback-02	1	aether-weaver-api	de.splatgames.aether.weaver.api.callback	7	done	4256009	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/LocalIntRef.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/LocalLongRef.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/LocalRef.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/LocalShortRef.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/Operation.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/OperationSupport.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/ReturnableCallback.java
L1-api-api-diagnostic+1	1	aether-weaver-api	de.splatgames.aether.weaver.api.diagnostic; de.splatgames.aether.weaver.api.experimental	11	done	c2a1f36	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/Diagnostic.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/DiagnosticCode.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/DiagnosticId.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/Location.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/PluginDiagnosticId.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/Severity.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/WeaveException.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/experimental/Extension.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/experimental/Nulls.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/experimental/Receiver.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/experimental/Scope.java
L1-api-api-manifest	1	aether-weaver-api	de.splatgames.aether.weaver.api.manifest	4	done	d1dbfba	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/manifest/Json.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/manifest/ManifestReader.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/manifest/ManifestWriter.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/manifest/WeaveManifest.java
L1-api-api-model	1	aether-weaver-api	de.splatgames.aether.weaver.api.model	9	done	1f4dcd5	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/model/GroupSpec.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/model/HandlerRef.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/model/InjectorKind.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/model/InjectorSpec.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/model/LocalSpec.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/model/Origin.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/model/PointSpec.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/model/SliceSpec.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/model/WeaveCandidate.java
L1-api-api-select	1	aether-weaver-api	de.splatgames.aether.weaver.api.select	9	done	3e2e869	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/select/ConstantSelector.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/select/FieldSelector.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/select/MemberKind.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/select/MemberSelector.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/select/MethodSelector.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/select/SelectorParser.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/select/SelectorRendering.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/select/SelectorSyntaxException.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/select/TypePattern.java
L1-api-api-spi-01	1	aether-weaver-api	de.splatgames.aether.weaver.api.spi	10	done	7295ddb	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/Alias.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/ClassSource.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/CodeView.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/ConfigView.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/DiagnosticListener.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/DiscoveryContext.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/HandlerBinding.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/InjectionContext.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/InjectionPoint.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/InjectionPointFactory.java
L1-api-api-spi-02	1	aether-weaver-api	de.splatgames.aether.weaver.api.spi	9	done	3fa59c2	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/Injector.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/InjectorFactory.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/MethodView.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/PlanEntryView.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/PlanView.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/PluginContext.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/PluginEvent.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/PluginId.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/Reporter.java
